Namespace;Class name;Attribute name;Designation;Definition;Multiplicity;Type;Origin;Original code
Situation;Accident;accidentType;Accident type;A characterization of the nature of the accident.;1..*;EAID_D13BE3BE_AF8F_4965_9124_6A2EAA72E49C;;
Situation;Accident;collisionType;Collision type;Identifies a type of collision;0..1;EAID_239B367D_425F_46d5_82E9_D6B8C48DB163;;
Situation;AuthorityOperation;authorityOperationType;Authority operation type;Type of authority initiated operation or activity that could disrupt traffic. ;1..1;EAID_3B6AB3C6_04BE_4897_B186_FE7A235C004F;;
Situation;DisturbanceActivity;disturbanceActivityType;Disturbance activity type;Includes all situations of a public disorder type or of an alert type, with potential to disrupt traffic.;1..1;EAID_997A4339_FD4A_4e5a_8307_2E5F6BF17FE4;;
Situation;PublicEvent;publicEventType;Public event type;Type of public event which could disrupt traffic.;1..1;EAID_518C29AF_2350_4697_8AEC_A71E58DFB604;;
LocationReferencing;AlertCDirection;alertCAffectedDirection;ALERT-C affected direction;The direction(s) of traffic flow to which the situation, traffic data or information is related.;1..1;EAID_3855110B_58FC_4abc_B24D_F8E0A01CE1DB;;
LocationReferencing;AlertCDirection;alertCDirectionCoded;ALERT-C direction coded;Direction of navigation with respect to secondary to primary location (RDS direction);1..1;EAID_5A62C6CA_28AA_4848_AFF3_992315B92E7D;;
LocationReferencing;AlertCDirection;alertCDirectionNamed;ALERT-C direction named;ALERT-C name of a direction e.g. Brussels -> Lille.;0..1;EAID_E9FD7AF8_362B_4b36_899F_2F827A73E908;;
LocationReferencing;AlertCLinear;alertCLocationCountryCode;ALERT-C location country code;ALERT-C country code as defined in IEC 62106.;1..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
LocationReferencing;AlertCLinear;alertCLocationTableNumber;ALERT-C location table number;Number allocated to an ALERT-C table in a country. Ref. EN ISO 14819-3 for the allocation of a location table number.;1..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
LocationReferencing;AlertCLinear;alertCLocationTableVersion;ALERT-C location table version;Version number associated with an ALERT-C table reference.;1..1;EAID_DD0FAA46_EDB3_4ba6_A191_377D87F4D303;;
