Namespace;Package nam;Class name;Designation;Definition;Stereotype;Abstract
Situation;Accident;Accident;Accident;Accidents are events where one or more vehicles are involved in collisions or in leaving the roadway. These include collisions between vehicles or with other road users or obstacles.;;No
Situation;Activity;Activity;Activity;Deliberate human action external to the traffic stream or roadway which could disrupt traffic.;;Yes
Situation;Activity;AuthorityOperation;Authority operation;Authority initiated operation or activity that could disrupt traffic.;;No
Situation;Activity;DisturbanceActivity;Disturbance activity;Deliberate human action of either a public disorder nature or of a situation alert type which could disrupt traffic.;;No
Situation;Activity;PublicEvent;Public event;Organised public event which could disrupt traffic.;;No
LocationReferencing;AlertC;AlertCDirection;ALERT-C direction;The direction of traffic flow along the road to which the information relates.;;No
LocationReferencing;AlertC;AlertCLinear;ALERT-C linear;A linear section along a road defined between two points on the road by reference to a pre-defined ALERT-C location table.;;Yes
LocationReferencing;AlertC;AlertCLocation;ALERT-C location;Identification of a specific point, linear or area location in an ALERT-C location table.;;No
LocationReferencing;AlertC;AlertCMethod2PrimaryPointLocation;ALERT-C method2 primary point location;The point (called Primary point) which is either a single point or at the downstream end of a linear road section. The point is specified by a reference to a point in a pre-defined ALERT-C location table.;;No
LocationReferencing;AlertC;AlertCMethod2SecondaryPointLocation;ALERT-C method2 secondary point location;The point (called Secondary point) which is at the upstream end of a linear road section. The point is specified by a reference to a point in a pre-defined ALERT-C location table.;;No
LocationReferencing;AlertC;AlertCMethod4PrimaryPointLocation;ALERT-C method4 primary point location;The point (called Primary point) which is either a single point or at the downstream end of a linear road section. The point is specified by a reference to a point in a pre-defined ALERT-C location table plus a non-negative offset distance.;;No
LocationReferencing;AlertC;AlertCMethod4SecondaryPointLocation;ALERT-C method4 secondary point location;The point (called Secondary point) which is at the upstream end of a linear road section. The point is specified by a reference to a point in a pre-defined Alert-C location table plus a non-negative offset distance.;;No
LocationReferencing;AlertC;AlertCPoint;ALERT-C point;A single point on the road network defined by reference to a pre-defined ALERT-C location table and which has an associated direction of traffic flow.;;Yes
LocationReferencing;AlertCArea;AlertCArea;ALERT-C area;An area defined by reference to a predefined ALERT-C location table.;;No
LocationReferencing;AlertCLinearByCode;AlertCLinearByCode;ALERT-C linear by code;A linear section along a road defined by reference to a linear section in a pre-defined ALERT-C location table.;;No
LocationReferencing;AlertCMethod2Linear;AlertCMethod2Linear;ALERT-C method2 linear;A linear section along a road between two points, primary and secondary, which are pre-defined in an ALERT-C location table. Direction is FROM the secondary point TO the primary point, i.e. the primary point is downstream of the secondary point.;;No
LocationReferencing;AlertCMethod2Point;AlertCMethod2Point;ALERT-C method2 point;A single point on the road network defined by reference to a point in a pre-defined ALERT-C location table and which has an associated direction of traffic flow.;;No
LocationReferencing;AlertCMethod4Linear;AlertCMethod4Linear;ALERT-C method4 linear;A linear section along a road between two points, primary and secondary, which are pre-defined ALERT-C locations plus offset distance. Direction is FROM the secondary point TO the primary point, i.e. the primary point is downstream of the secondary point.;;No
LocationReferencing;AlertCMethod4Point;AlertCMethod4Point;ALERT-C method4 point;A single point on the road network defined by reference to a point in a pre-defined ALERT-C location table plus an offset distance and which has an associated direction of traffic flow.;;No
Situation;Classes;Cause;Cause;Contains details of the cause of a record within a situation;;No
Situation;Classes;Comment;Comment;A free text comment with an optional date/time stamp that can be used by the operator to convey un-coded observations/information.;;No
Situation;Classes;DetailedCauseType;Detailed cause type;The type of influence that may be the cause of components of a situation. At least one attribute must be populated.;;No
Situation;Classes;GenericSituationRecord;Generic situation record;A generic SituationRecord for use when adding level B extensions at the SituationRecord level.;;No
Common;Classes;GlobalReference;Global reference;A versioned reference to an object that may be in another publication from another publisher.;;Yes
Situation;Classes;GroupOfPeopleInvolved;Group of people involved;Group of people involved in the event having common characteristics and/or status.;;No
Common;Classes;GroupOfVehiclesInvolved;Group of vehicles involved;Group of the vehicles involved having common characteristics and/or status.;;No
Common;Classes;HazardousMaterials;Hazardous materials;Details of hazardous materials.;;No
Common;Classes;HeaderInformation;Header information;Management information relating to the data contained within a publication.;;No
Common;Classes;InternationalIdentifier;International identifier;An identifier/name whose range is specific to the particular country.;;No
Situation;Classes;Mobility;Mobility;An indication of whether the associated instance of a SituationRecord is mobile (e.g. a march or parade moving along a road) or stationary.;;No
Common;Classes;PayloadPublication;Payload publication;A payload publication of traffic related information or associated management information created at a specific point in time that can be exchanged via a DATEX II interface.;;Yes
Situation;Classes;Situation;Situation;An identifiable instance of a traffic/travel situation comprising one or more traffic/travel circumstances which are linked by one or more causal relationships. Each traffic/travel circumstance is represented by a Situation Record.;;No
Situation;Classes;SituationRecord;Situation record;An identifiable versioned instance of a single record/element within a situation.;;Yes
Common;Classes;Source;Source;Details of the source from which the information was obtained.;;No
Common;Classes;UrlLink;URL link;Details of a Uniform Resource Locator (URL) address pointing to a resource available on the Internet from where further relevant information may be obtained.;;No
Situation;Conditions;Conditions;Conditions;Any conditions which have the potential to degrade normal driving conditions.;;No
Situation;Conditions;NonWeatherRelatedRoadConditions;Non weather related road conditions;Road surface conditions that are not related to the weather but which may affect driving conditions.;;No
Situation;Conditions;PoorEnvironmentConditions;Poor environment conditions;Any environmental conditions which may be affecting the driving conditions on the road.;;No
Situation;Conditions;RoadSurfaceConditions;Road surface conditions;Conditions of the road surface which may affect driving conditions. These may be related to the weather (e.g. ice, snow etc.) or to other conditions (e.g. oil, mud, leaves etc. on the road);;Yes
Situation;Conditions;WeatherRelatedRoadConditions;Weather related road conditions;Road surface conditions that are related to the weather which may affect the driving conditions, such as ice, snow or water.;;No
Common;DataValue;DataValue;Data value;A data value of something that can be measured or calculated. Any provided meta-data values specified in the attributes override any specified generic characteristics such as defined for a specific measurement in the MeasurementSiteTable. ;;Yes
