Namespace;Enumeration name;Enumeration literal;Designation;Definition;Origin;Original code
Situation;AbnormalTrafficTypeEnum;heavyTraffic;Heavy traffic;Traffic is heavy at the specified location (i.e. average speed is between 75% and 90% of its free-flow level).;;
Situation;AbnormalTrafficTypeEnum;other;Other;Other than as defined in this enumeration.;;
Situation;AbnormalTrafficTypeEnum;queuingTraffic;Queuing traffic;Traffic is queuing at the specified location, although there is still some traffic movement (i.e. average speed is between 10% and 25% of its free-flow level).;;
Situation;AbnormalTrafficTypeEnum;slowTraffic;Slow traffic;Traffic is slow moving at the specified location, but not yet forming queues (i.e. average speed is between 25% and 75% of its free-flow level).;;
Situation;AbnormalTrafficTypeEnum;stationaryTraffic;Stationary traffic;Traffic is stationary, or very near stationary, at the specified location (i.e. average speed is less than 10% of its free-flow level).;;
Situation;AccidentTypeEnum;accident;Accident;Accidents are situations in which one or more vehicles lose control and do not recover.  They include collisions between vehicle(s) or other road user(s), between vehicle(s) and fixed obstacle(s), or they result from a vehicle running off the road.;;
Situation;AccidentTypeEnum;accidentInvolvingHazardousMaterials;Accident involving hazardous materials;Includes all accidents involving at least one vehicle believed to be carrying materials, which could present an additional hazard to road users.;;
Situation;AccidentTypeEnum;accidentInvolvingHeavyLorries;Accident involving heavy lorries;Includes all accidents involving at least one heavy goods vehicle.;;
Situation;AccidentTypeEnum;accidentInvolvingPublicTransport;Accident involving public transport;Includes all accidents involving public transport;;
Situation;AccidentTypeEnum;other;Other;Other than as defined in this enumeration.;;
LocationReferencing;AlertCDirectionEnum;negative;Negative;The direction of navigation in an ALERT-C table that corresponds to the negative offset usage to go from the secondary location to the primary location within the ALERT-C location table.;;
LocationReferencing;AlertCDirectionEnum;positive;Positive;The direction of navigation in an ALERT-C table that corresponds to the positive offset usage to go from the secondary location to the primary location within the ALERT-C location table.;;
LocationReferencing;AltitudeAccuracyEnum;equalToOrLessThan100Metres;Equal to or less than100 metres;Indicates if the altitude accuracy is equal to or less than 100 metres;;
LocationReferencing;AltitudeAccuracyEnum;equalToOrLessThan10Centimetres;Equal to or less than10 centimetres;Indicates if the altitude accuracy is equal to or less than 10 centimetres;;
LocationReferencing;AltitudeAccuracyEnum;equalToOrLessThan10Metres;Equal to or less than10 metres;Indicates if the altitude accuracy is equal to or less than 10 metres;;
LocationReferencing;AltitudeAccuracyEnum;equalToOrLessThan1Centimetre;Equal to or less than1 centimetre;Indicates if the altitude accuracy is equal to or less than 1 centimetre;;
LocationReferencing;AltitudeAccuracyEnum;equalToOrLessThan1Metre;Equal to or less than1 metre;Indicates if the altitude accuracy is equal to or less than 1 metre;;
LocationReferencing;AltitudeAccuracyEnum;equalToOrLessThan200Metres;Equal to or less than200 metres;Indicates if the altitude accuracy is equal to or less than 200 metres;;
